SubjectCode,CourseNo\.,InstrType,InstrMethod,Sec,CRN_URL,CRN,CourseTitle,Days_Time._,Days_Time.realName,Days_Time1._,Days_Time1.realName,Instructor
AFAS,101,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11835?crseNumb=101,11835,Introduction to Africana Studies,TR,Days _ Time,02:00 pm - 03:20 pm,Days _ Time1,Tasneem A Siddiqui
ANIM,100,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11497?crseNumb=100,11497,Foundational Tools for Animation & VFX,R,Days _ Time,12:30 pm - 03:20 pm,Days _ Time1,Dan P Rose
ANIM,100,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11498?crseNumb=100,11498,Foundational Tools for Animation & VFX,T,Days _ Time,09:30 am - 12:20 pm,Days _ Time1,Brittany Blair
AFAS,230,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/15202?crseNumb=230,15202,Silences in African History,TR,Days _ Time,10:00 am - 11:50 am,Days _ Time1,Sonia Vaz Borges
ANIM,100,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12896?crseNumb=100,12896,Foundational Tools for Animation & VFX,T,Days _ Time,12:30 pm - 03:20 pm,Days _ Time1,Brittany Blair
ANIM,155,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12598?crseNumb=155,12598,Previsualization for Animated Production,M,Days _ Time,06:30 pm - 09:20 pm,Days _ Time1,Matthew J Parent
ANIM,211,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/10692?crseNumb=211,10692,Animation I,R,Days _ Time,09:30 am - 12:20 pm,Days _ Time1,Michael J Dixon
ANIM,211,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/10693?crseNumb=211,10693,Animation I,R,Days _ Time,12:30 pm - 03:20 pm,Days _ Time1,Michael J Dixon
ANIM,211,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/10694?crseNumb=211,10694,Animation I,F,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,craig C Whitaker
ANIM,211,Lecture,Remote Synchronous,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/14814?crseNumb=211,14814,Animation I,R,Days _ Time,06:30 pm - 09:20 pm,Days _ Time1,Valentina M Feldman
ANIM,314,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/15226?crseNumb=314,15226,Character Animation I,W,Days _ Time,12:00 pm - 02:50 pm,Days _ Time1,Dave A Mauriello
ANIM,347,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/14817?crseNumb=347,14817,Organic Modeling II,W,Days _ Time,03:00 pm - 05:50 pm,Days _ Time1,Dave A Mauriello
