SubjectCode,CourseNo\.,InstrType,InstrMethod,Sec,CRN_URL,CRN,CourseTitle,Days_Time,Days_Time1,Days_Time2,Days_Time3,Instructor
ANIM,141,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/30948?crseNumb=141,30948,Computer Graphics Imagery II,R,12:30 pm - 03:20 pm,,,STAFF
ANIM,141,Lecture,Remote Synchronous,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/30949?crseNumb=141,30949,Computer Graphics Imagery II,T,09:30 am - 12:20 pm,,,Alison M Friedlander
ANIM,141,Lecture,Remote Synchronous,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/33319?crseNumb=141,33319,Computer Graphics Imagery II,T,12:30 pm - 03:20 pm,,,Alison M Friedlander
ANIM,141,Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/35187?crseNumb=141,35187,Computer Graphics Imagery II,R,03:30 pm - 06:20 pm,,,Matthew C Rotella
ANIM,145,Integrated Lecture & Lab,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32857?crseNumb=145,32857,Realtime Visualization,W,09:00 am - 11:50 am,,,Dan P Rose
ANIM,145,Integrated Lecture & Lab,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32858?crseNumb=145,32858,Realtime Visualization,W,12:00 pm - 02:50 pm,,,Dan P Rose
ANIM,145,Integrated Lecture & Lab,Remote Synchronous,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32859?crseNumb=145,32859,Realtime Visualization,R,12:30 pm - 03:20 pm,,,STAFF
ANIM,145,Integrated Lecture & Lab,Remote Synchronous,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32860?crseNumb=145,32860,Realtime Visualization,T,07:00 pm - 09:50 pm,,,STAFF
ANIM,145,Integrated Lecture & Lab,Face To Face,005,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/35188?crseNumb=145,35188,Realtime Visualization,R,09:30 am - 12:20 pm,,,STAFF
ANIM,155,Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/33320?crseNumb=155,33320,Previsualization for Animated Production,M,06:00 pm - 08:50 pm,,,Matthew J Parent
ANIM,155,Lecture,Remote Synchronous,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34070?crseNumb=155,34070,Previsualization for Animated Production,W,06:00 pm - 08:50 pm,,,Matthew J Parent
ANIM,211,Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/33321?crseNumb=211,33321,Animation I,W,12:00 pm - 02:50 pm,,,Alison M Friedlander
ANIM,211,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/33322?crseNumb=211,33322,Animation I,R,06:30 pm - 09:20 pm,,,Valentina M Feldman
ANIM,211,Lecture,Remote Synchronous,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34071?crseNumb=211,34071,Animation I,M,04:00 pm - 06:50 pm,,,Steven P Jennings
ANIM,211,Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34072?crseNumb=211,34072,Animation I,W,06:00 pm - 08:50 pm,,,STAFF
ANIM,214,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34550?crseNumb=214,34550,Digital Character Creation,T,06:30 pm - 09:20 pm,,,Michael T Sulesky
ANIM,214,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/35050?crseNumb=214,35050,Digital Character Creation,R,06:30 pm - 09:20 pm,,,Michael T Sulesky
ANIM,220,Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31629?crseNumb=220,31629,Digital Compositing I,M,06:00 pm - 08:50 pm,,,STAFF
ANIM,220,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31630?crseNumb=220,31630,Digital Compositing I,R,09:30 am - 12:20 pm,,,Milady S Bridges
