SubjectCode,CourseNo\.,InstrType,InstrMethod,Sec,CRN_URL,CRN,CourseTitle,Days_Time,Days_Time1,Days_Time2,Days_Time3,Instructor
ANIM,212,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41642?crseNumb=212,41642,Animation II,T,12:30 pm - 03:20 pm,,,STAFF
ANIM,212,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41901?crseNumb=212,41901,Animation II,T,03:30 pm - 06:20 pm,,,STAFF
ANIM,215,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41643?crseNumb=215,41643,History of Animation,R,12:30 pm - 03:20 pm,,,STAFF
ANIM,231,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41163?crseNumb=231,41163,Scripting for Animation and Visual Effects,W,12:00 pm - 02:50 pm,,,STAFF
ANIM,231,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41902?crseNumb=231,41902,Scripting for Animation and Visual Effects,M,09:00 am - 11:50 am,,,STAFF
ANIM,248,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41644?crseNumb=248,41644,Advanced Lighting,R,12:30 pm - 03:20 pm,,,STAFF
ANIM,250,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40875?crseNumb=250,40875,Professional Practices for Animation & VFX,R,06:30 pm - 09:20 pm,,,STAFF
ANIM,250,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/42009?crseNumb=250,42009,Professional Practices for Animation & VFX,W,06:00 pm - 08:50 pm,,,STAFF
ANIM,T280,Special Topics-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41904?crseNumb=T280,41904,Undergraduate Research Lab,W,12:00 pm - 02:50 pm,,,STAFF
ANIM,412,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41903?crseNumb=412,41903,Advanced Visual Effects,F,03:00 pm - 05:50 pm,,,STAFF
ARCH,142,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40003?crseNumb=142,40003,Architecture and Society II,M,06:00 pm - 08:50 pm,,,Ken F Jacobs
ARCH,191,Studio,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40150?crseNumb=191,40150,Studio 1-AE,MW,04:00 pm - 05:50 pm,,,Joanne M Pizzo
ARCH,191,Studio,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40755?crseNumb=191,40755,Studio 1-AE,MW,04:00 pm - 05:50 pm,,,STAFF
ARCH,226,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41368?crseNumb=226,41368,Architectural Representation VI,W,06:00 pm - 08:50 pm,,,STAFF
ARCH,252,Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41369?crseNumb=252,41369,Structural Systems II,M,06:00 pm - 08:50 pm,,,Alex J Stadel
ARCH,253,Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41370?crseNumb=253,41370,Structural Systems III,M,06:00 pm - 08:50 pm,,,Alex J Stadel
ARCH,346,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40596?crseNumb=346,40596,History of Philadelphia Architecture,R,06:30 pm - 09:20 pm,,,Bruce Laverty
ARCH,348,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40679?crseNumb=348,40679,Studies in Vernacular Architecture,T,06:30 pm - 09:20 pm,,,Joshua T Lessard
ARCH,431,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40880?crseNumb=431,40880,Architectural Programming,M,06:00 pm - 08:50 pm,,,Christina L Grimes
ARCH,431,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41191?crseNumb=431,41191,Architectural Programming,R,06:30 pm - 09:20 pm,,,Erin L Brobson
ARCH,432,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40810?crseNumb=432,40810,The Development Process,W,06:00 pm - 08:50 pm,,,Anthony J Bracali
ARCH,463,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40214?crseNumb=463,40214,Emerging Architectural Technology,T,06:30 pm - 09:20 pm,,,Richard King
ARCH,T480,Special Topics-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41881?crseNumb=T480,41881,History/Theory Elective,R,06:30 pm - 09:20 pm,,,STAFF
ARCH,T480,Special Topics-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41882?crseNumb=T480,41882,Professional Elective,T,06:30 pm - 09:20 pm,,,STAFF
ARTH,101,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40680?crseNumb=101,40680,History of Art I,TR,03:30 pm - 04:50 pm,,,STAFF
ARTH,102,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40319?crseNumb=102,40319,History of Art II,TR,12:30 pm - 01:50 pm,,,Joseph F Gregory
ARTH,103,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40320?crseNumb=103,40320,History of Art III,TR,02:00 pm - 03:20 pm,,,Joseph F Gregory
ARTH,300,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40004?crseNumb=300,40004,History of Modern Design,T,06:30 pm - 09:20 pm,,,STAFF
