SubjectCode,CourseNo\.,InstrType,InstrMethod,Sec,CRN_URL,CRN,CourseTitle,Days_Time,Days_Time1,Days_Time2,Days_Time3,Instructor
ANIM,110,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21909?crseNumb=110,21909,Digital Imaging for Animation & VFX,W,12:00 pm - 02:50 pm,,,Milady S Bridges
ANIM,110,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21910?crseNumb=110,21910,Digital Imaging for Animation & VFX,R,12:30 pm - 03:20 pm,,,Milady S Bridges
ANIM,110,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/24243?crseNumb=110,24243,Digital Imaging for Animation & VFX,M,03:00 pm - 05:50 pm,,,Milady S Bridges
ANIM,110,Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25324?crseNumb=110,25324,Digital Imaging for Animation & VFX,M,12:00 pm - 02:50 pm,,,Milady S Bridges
ANIM,115,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25588?crseNumb=115,25588,Introduction to Production with Animation & VFX,T,12:30 pm - 03:20 pm,"Mar 18, 2022","Final Exam:
03:30 pm - 05:30 pm",Evan C James
ANIM,115,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25589?crseNumb=115,25589,Introduction to Production with Animation & VFX,T,03:30 pm - 06:20 pm,"Mar 18, 2022","Final Exam:
08:00 am - 10:00 am",Evan C James
ANIM,140,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21222?crseNumb=140,21222,Computer Graphics Imagery I,W,03:00 pm - 05:50 pm,"Mar 17, 2022","Final Exam:
10:30 am - 12:30 pm",Dan P Rose
ANIM,140,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21224?crseNumb=140,21224,Computer Graphics Imagery I,R,06:30 pm - 09:20 pm,,,Valentina M Feldman
ANIM,140,Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21225?crseNumb=140,21225,Computer Graphics Imagery I,F,06:00 pm - 08:50 pm,,,craig C Whitaker
ANIM,140,Lecture,Face To Face,005,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21226?crseNumb=140,21226,Computer Graphics Imagery I,M,12:00 pm - 02:50 pm,"Mar 14, 2022","Final Exam:
01:00 pm - 03:00 pm",Matthew C Rotella
ANIM,140,Lecture,Face To Face,007,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/23333?crseNumb=140,23333,Computer Graphics Imagery I,T,06:30 pm - 09:20 pm,,,Michael T Sulesky
ANIM,140,Lecture,Face To Face,008,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/23783?crseNumb=140,23783,Computer Graphics Imagery I,W,06:00 pm - 08:50 pm,,,Michael T Sulesky
ANIM,140,Lecture,Face To Face,009,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/26154?crseNumb=140,26154,Computer Graphics Imagery I,F,12:00 pm - 02:50 pm,"Mar 18, 2022","Final Exam:
01:00 pm - 03:00 pm",Matthew C Rotella
ANIM,140,Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21223?crseNumb=140,21223,Computer Graphics Imagery I,T,03:30 pm - 06:20 pm,"Mar 14, 2022","Final Exam:
03:30 pm - 05:30 pm",Alison M Friedlander
ANIM,140,Lecture,Hybrid,131,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21236?crseNumb=140,21236,Computer Graphics Imagery I,T,09:30 am - 12:20 pm,"Mar 17, 2022","Final Exam:
10:30 am - 12:30 pm",Alison M Friedlander
ANIM,212,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/20889?crseNumb=212,20889,Animation II,F,03:00 pm - 05:50 pm,"Mar 14, 2022","Final Exam:
01:00 pm - 03:00 pm",Steven P Jennings
ANIM,215,Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/20890?crseNumb=215,20890,History of Animation,W,06:00 pm - 08:50 pm,,,Mindy J Johnson
ANIM,240,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/24447?crseNumb=240,24447,Lighting & Surfacing,W,09:00 am - 11:50 am,"Mar 15, 2022","Final Exam:
08:00 am - 10:00 am",Dan P Rose
ANIM,T280,Special Topics-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/24450?crseNumb=T280,24450,2D Animation Production,M,09:00 am - 11:50 am,"Mar 16, 2022","Final Exam:
10:30 am - 12:30 pm",Lowell J Boston
ANIM,315,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/23615?crseNumb=315,23615,Character Animation II,W,12:00 pm - 02:50 pm,"Mar 14, 2022","Final Exam:
01:00 pm - 03:00 pm",Dave A Mauriello
ANIM,T380,Special Topics-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25591?crseNumb=T380,25591,Senior Project Pre-Production,W,03:00 pm - 05:50 pm,"Mar 17, 2022","Final Exam:
03:30 pm - 05:30 pm",Dave A Mauriello
ANIM,T380,Special Topics-Lecture,Remote Synchronous,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/26174?crseNumb=T380,26174,Art of the Fairy Tale,M,06:00 pm - 08:50 pm,,,Leslie T Boles
ANIM,435,Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/24449?crseNumb=435,24449,Technical Directing for Animation,F,09:00 am - 11:50 am,"Mar 18, 2022","Final Exam:
10:30 am - 12:30 pm",Jentzen W Mooney
ARCH,108,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21572?crseNumb=108,21572,Foundation Design II,R,07:00 pm - 09:50 pm,,,Alina P Macneal
ARCH,142,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/20026?crseNumb=142,20026,Architecture and Society II,TR,02:00 pm - 03:20 pm,"Mar 14, 2022","Final Exam:
01:00 pm - 03:00 pm","Mark L Brack, Nancy H Fee"
ARCH,142,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/20027?crseNumb=142,20027,Architecture and Society II,W,06:00 pm - 08:50 pm,,,Mark L Brack
ARCH,144,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/22901?crseNumb=144,22901,Architecture and Society IV,R,06:30 pm - 09:20 pm,,,Mark L Brack
ARCH,144,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/24227?crseNumb=144,24227,Architecture and Society IV,R,06:30 pm - 09:20 pm,,,Ulrike Altenmueller-Lewis
ARCH,182,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21573?crseNumb=182,21573,Architecture Studio 1B,MR,09:00 am - 11:50 am,,,Stephanie C Feldman
ARCH,182,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21574?crseNumb=182,21574,Architecture Studio 1B,MR,09:00 am - 11:50 am,,,David A Beker
ARCH,182,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21912?crseNumb=182,21912,Architecture Studio 1B,MR,09:00 am - 11:50 am,,,Amy Cha
ARCH,182,Studio-Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21992?crseNumb=182,21992,Architecture Studio 1B,MR,09:00 am - 11:50 am,,,Jennifer Hofer Jeffrey
ARCH,182,Studio-Lecture,Face To Face,005,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/24383?crseNumb=182,24383,Architecture Studio 1B,W,06:00 pm - 09:50 pm,,,Paul J Salvaggio
ARCH,191,Studio-Lab,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21913?crseNumb=191,21913,Studio 1-AE,MW,04:00 pm - 05:50 pm,"Mar 14, 2022","Final Exam:
03:30 pm - 05:30 pm",Mia E Rosensaft
ARCH,191,Studio-Lab,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/23569?crseNumb=191,23569,Studio 1-AE,MW,04:00 pm - 05:50 pm,"Mar 14, 2022","Final Exam:
03:30 pm - 05:30 pm",John Fotiadis
ARCH,212,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21575?crseNumb=212,21575,Architectural Representation II,W,09:00 am - 11:50 am,,,Marc L Krawitz
ARCH,212,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21576?crseNumb=212,21576,Architectural Representation II,W,09:00 am - 11:50 am,,,Mia E Rosensaft
ARCH,212,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21993?crseNumb=212,21993,Architectural Representation II,W,09:00 am - 11:50 am,,,Jason B Boris
ARCH,212,Studio-Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/23570?crseNumb=212,23570,Architectural Representation II,W,09:00 am - 11:50 am,,,Jordan D Solomonic
ARCH,212,Studio-Lecture,Face To Face,005,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/24384?crseNumb=212,24384,Architectural Representation II,R,07:00 pm - 09:50 pm,,,Anthony V Assetto
ARCH,222,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/22989?crseNumb=222,22989,Materials & Methods II,M,06:00 pm - 08:50 pm,,,Simon J Tickell
ARCH,222,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/22990?crseNumb=222,22990,Materials & Methods II,M,06:00 pm - 08:50 pm,,,Rob A Rumburg
ARCH,222,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/22991?crseNumb=222,22991,Materials & Methods II,M,06:00 pm - 08:50 pm,,,Jesse Mainwaring
ARCH,225,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21684?crseNumb=225,21684,Architectural Representation V,W,02:00 pm - 04:50 pm,,,Daniel E Brown
ARCH,225,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21685?crseNumb=225,21685,Architectural Representation V,W,02:00 pm - 04:50 pm,,,Jeremiah Woodring
ARCH,225,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/22352?crseNumb=225,22352,Architectural Representation V,W,02:00 pm - 04:50 pm,,,Bridget Kane
